# Thu Feb  1 22:20:53 2024

# input dimensionality
5

# covariance function
CovSum(CovSEard, CovNoise)

# log-hyperparameter
8.593285806 8.49076127 0.459242575 8.593285806 8.49076127 3.250971483 -12.64472638 

# mean for input values
261676.8333 261668.5 261660.1667 261651.8333 261643.5 
# std_dev for input values
418.574333 418.5676966 418.574333 418.574333 418.5676966 

# mean and std_dev for target values
2.976431239 0.1733064148

# data (target value in first column)
-0.9314423956 -0.4869704549 -0.4885709089 -0.4877668089 -0.4869704549 -0.4885709089 
-0.8813411027 -0.4678579595 -0.4670690108 -0.4686543135 -0.4678579595 -0.4670690108 
-0.8219145047 -0.4487454642 -0.4479562124 -0.4471527562 -0.4487454642 -0.4479562124 
-0.766511277 -0.4272439069 -0.428843414 -0.4280402608 -0.4272439069 -0.428843414 
-0.7088298744 -0.4081314115 -0.4073415158 -0.4089277655 -0.4081314115 -0.4073415158 
-0.6413946642 -0.3890189161 -0.3882287174 -0.3874262082 -0.3890189161 -0.3882287174 
-0.5793582526 -0.3675173588 -0.369115919 -0.3683137128 -0.3675173588 -0.369115919 
-0.5155162999 -0.3484048635 -0.3476140208 -0.3492012174 -0.3484048635 -0.3476140208 
-0.4417348397 -0.3292923681 -0.3285012224 -0.3276996602 -0.3292923681 -0.3285012224 
-0.3745930194 -0.3077908108 -0.309388424 -0.3085871648 -0.3077908108 -0.309388424 
-0.3061597748 -0.2886783155 -0.2878865258 -0.2894746694 -0.2886783155 -0.2878865258 
-0.2278478309 -0.2695658201 -0.2687737274 -0.2679731121 -0.2695658201 -0.2687737274 
-0.1572516164 -0.2480642628 -0.249660929 -0.2488606168 -0.2480642628 -0.249660929 
-0.08591803195 -0.2289517674 -0.2281590308 -0.2297481214 -0.2289517674 -0.2281590308 
-0.005002172405 -0.2098392721 -0.2090462324 -0.2082465641 -0.2098392721 -0.2090462324 
0.06730522628 -0.1883377148 -0.189933434 -0.1891340687 -0.1883377148 -0.189933434 
0.1397904498 -0.1692252194 -0.1684315358 -0.1700215734 -0.1692252194 -0.1684315358 
0.2213133698 -0.150112724 -0.1493187375 -0.1485200161 -0.150112724 -0.1493187375 
