# Fri Feb  2 07:29:19 2024

# input dimensionality
5

# covariance function
CovSum(CovSEard, CovNoise)

# log-hyperparameter
10.42486196 10.32673936 0.2102683593 10.42486196 10.32673936 1.800608972 -12.73618968 

# mean for input values
4159.166667 4150.833333 4142.5 4134.166667 4125.833333 
# std_dev for input values
418.574333 418.574333 418.5676966 418.574333 418.574333 

# mean and std_dev for target values
2.945893586 0.1713906258

# data (target value in first column)
-0.2247285386 0.7664906996 0.7672870536 0.7657064857 0.7664906996 0.7672870536 
-0.3004454431 0.785603195 0.786399549 0.7872083838 0.785603195 0.786399549 
-0.3660973925 0.8071047523 0.8055120444 0.8063211822 0.8071047523 0.8055120444 
-0.4300212575 0.8262172477 0.8270136016 0.8254339806 0.8262172477 0.8270136016 
-0.4996907726 0.845329743 0.846126097 0.8469358788 0.845329743 0.846126097 
-0.5594283808 0.8668313003 0.8652385924 0.8660486772 0.8668313003 0.8652385924 
-0.6169561704 0.8859437957 0.8867401497 0.8851614756 0.8859437957 0.8867401497 
-0.6788538171 0.9050562911 0.905852645 0.9066633738 0.9050562911 0.905852645 
-0.7312122402 0.9265578484 0.9249651404 0.9257761722 0.9265578484 0.9249651404 
-0.780923415 0.9456703437 0.9464666977 0.9448889706 0.9456703437 0.9464666977 
-0.833526552 0.9647828391 0.9655791931 0.9663908688 0.9647828391 0.9655791931 
-0.8772096937 0.9862843964 0.9846916884 0.9855036672 0.9862843964 0.9846916884 
-0.9178795792 1.005396892 1.006193246 1.004616466 1.005396892 1.006193246 
-0.9599052662 1.024509387 1.025305741 1.026118364 1.024509387 1.025305741 
-0.9938476786 1.046010944 1.044418236 1.045231162 1.046010944 1.044418236 
-1.024469103 1.06512344 1.065919794 1.064343961 1.06512344 1.065919794 
-1.054875982 1.084235935 1.085032289 1.085845859 1.084235935 1.085032289 
-1.078227813 1.105737492 1.104144784 1.104958657 1.105737492 1.104144784 
-1.098058362 1.124849988 1.125646342 1.124071456 1.124849988 1.125646342 
-1.116097408 1.143962483 1.144758837 1.145573354 1.143962483 1.144758837 
-1.128291148 1.16546404 1.163871333 1.164686152 1.16546404 1.163871333 
-1.1368375 1.184576536 1.18537289 1.183798951 1.184576536 1.18537289 
-1.142064434 1.203689031 1.204485385 1.205300849 1.203689031 1.204485385 
-1.142798899 1.225190588 1.223597881 1.224413647 1.225190588 1.223597881 
-1.139848839 1.244303084 1.245099438 1.243526446 1.244303084 1.245099438 
-1.132135602 1.263415579 1.264211933 1.265028344 1.263415579 1.264211933 
-1.121393 1.284917136 1.283324429 1.284141142 1.284917136 1.283324429 
-1.107019608 1.304029632 1.304825986 1.30325394 1.304029632 1.304825986 
-1.086555808 1.323142127 1.323938481 1.324755839 1.323142127 1.323938481 
-1.064603661 1.344643685 1.343050977 1.343868637 1.344643685 1.343050977 
-1.039161625 1.36375618 1.364552534 1.362981435 1.36375618 1.364552534 
-1.006449227 1.382868675 1.383665029 1.384483334 1.382868675 1.383665029 
-0.973822494 1.404370233 1.402777525 1.403596132 1.404370233 1.402777525 
-0.9379374367 1.423482728 1.424279082 1.42270893 1.423482728 1.424279082 
-0.8937867579 1.442595223 1.443391577 1.444210829 1.442595223 1.443391577 
-0.8512945712 1.464096781 1.462504073 1.463323627 1.464096781 1.462504073 
-0.8058464361 1.483209276 1.48400563 1.482436425 1.483209276 1.48400563 
-0.7513424589 1.502321771 1.503118125 1.503938324 1.502321771 1.503118125 
-0.7000255416 1.523823329 1.522230621 1.523051122 1.523823329 1.522230621 
-0.6461414553 1.542935824 1.543732178 1.54216392 1.542935824 1.543732178 
-0.5826165891 1.562048319 1.562844673 1.563665819 1.562048319 1.562844673 
-0.5237545852 1.583549877 1.581957169 1.582778617 1.583549877 1.581957169 
-0.4627570331 1.602662372 1.603458726 1.601891415 1.602662372 1.603458726 
-0.391793746 1.621774867 1.622571221 1.623393314 1.621774867 1.622571221 
-0.3268086047 1.643276425 1.641683717 1.642506112 1.643276425 1.641683717 
-0.2602016525 1.66238892 1.663185274 1.66161891 1.66238892 1.663185274 
-0.1835359344 1.681501415 1.682297769 1.683120809 1.681501415 1.682297769 
-0.1140423093 1.703002973 1.701410265 1.702233607 1.703002973 1.701410265 
-0.04346377903 1.722115468 1.722911822 1.721346405 1.722115468 1.722911822 
